wine	Real	0.0001516495168541322	1	0.1314571607254534
glass	Real	0.00131667467361057	2	0.04256827183656452
selection	Real	0.0001558788912061336	3	0.025682718365645195
bottle	Real	0.0007034763432573045	4	0.024932249322493227
list	Real	0.00014892869852864494	5	0.02293099854075464
wines	Real	0.0002376406486384022	6	0.018636647904940587
beer	Real	0.00021073666185143127	7	0.01459245361684386
dinner	Real	0.0001783437577960496	8	0.01384198457369189
bruschetta	Real	0.0005947648542405158	9	0.012424431936627059
glasses	Real	0.0002705804748215103	10	0.010756722951844903
excellent	Real	0.00032348486656253616	11	0.00996456118407338
bottles	Real	6.081629854497648e-05	12	0.008838857619345424
course	Real	7.60240686902777e-05	13	0.007588075880758808
date	Real	0.00010307215481311019	14	0.007421304982280592
different	Real	6.948984600747035e-05	15	0.00729622680842193
postino	Real	0.0008838593813526483	16	0.007087763185324161
full	Real	0.0002549375974515662	17	0.007046070460704607
tasting	Real	3.921530872731206e-05	18	0.0068792995622263915
enjoyed	Real	0.0003856420430758833	19	0.006587450489889514
atmosphere	Real	0.00014840668647319888	20	0.006587450489889514
wine	Replicated	0.00014565969751258233	1	0.1314571607254534
glass	Replicated	5.3466040358170086e-05	2	0.04256827183656452
selection	Replicated	5.408886226395898e-05	3	0.025682718365645195
bottle	Replicated	2.92499234230006e-05	4	0.024932249322493227
list	Replicated	8.94553684867357e-05	5	0.02293099854075464
wines	Replicated	7.678665141263895e-05	6	0.018636647904940587
beer	Replicated	3.005910275462159e-05	7	0.01459245361684386
dinner	Replicated	1.3789844507565576e-05	8	0.01384198457369189
bruschetta	Replicated	0.00011519694286649742	9	0.012424431936627059
glasses	Replicated	5.772904435056031e-05	10	0.010756722951844903
excellent	Replicated	0.00012783617353364501	11	0.00996456118407338
bottles	Replicated	8.037203232873162e-05	12	0.008838857619345424
course	Replicated	5.409578912096625e-05	13	0.007588075880758808
date	Replicated	1.0511053452437926e-05	14	0.007421304982280592
different	Replicated	1.649591209411381e-05	15	0.00729622680842193
postino	Replicated	5.334293848201772e-05	16	0.007087763185324161
full	Replicated	2.580380261630186e-05	17	0.007046070460704607
tasting	Replicated	5.152320166760871e-05	18	0.0068792995622263915
enjoyed	Replicated	4.933870460043669e-05	19	0.006587450489889514
atmosphere	Replicated	9.09877496332342e-05	20	0.006587450489889514
wine	Replicated	2.038407904841587e-05	1	0.1314571607254534
glass	Replicated	9.19337184155987e-05	2	0.04256827183656452
selection	Replicated	2.380323343170108e-05	3	0.025682718365645195
bottle	Replicated	0.00018322661852100575	4	0.024932249322493227
