wine	Real	0.0001516495168541322	1	0.1314571607254534
glass	Real	0.0013166746736105704	2	0.04256827183656452
selection	Real	0.00015587889120613363	3	0.025682718365645195
bottle	Real	0.0007034763432573047	4	0.024932249322493227
list	Real	0.00014892869852864497	5	0.02293099854075464
wines	Real	0.0002376406486384022	6	0.018636647904940587
beer	Real	0.00021073666185143127	7	0.01459245361684386
dinner	Real	0.00017834375779604957	8	0.01384198457369189
bruschetta	Real	0.0005947648542405159	9	0.012424431936627059
glasses	Real	0.0002705804748215103	10	0.010756722951844903
excellent	Real	0.00032348486656253616	11	0.00996456118407338
bottles	Real	6.081629854497648e-05	12	0.008838857619345424
course	Real	7.602406869027771e-05	13	0.007588075880758808
date	Real	0.00010307215481311017	14	0.007421304982280592
different	Real	6.948984600747032e-05	15	0.00729622680842193
postino	Real	0.0008838593813526483	16	0.007087763185324161
full	Real	0.0002549375974515662	17	0.007046070460704607
tasting	Real	3.9215308727312056e-05	18	0.0068792995622263915
enjoyed	Real	0.00038564204307588336	19	0.006587450489889514
atmosphere	Real	0.00014840668647319888	20	0.006587450489889514
wine	Replicated	7.725251025053984e-05	1	0.1314571607254534
glass	Replicated	3.110254412317566e-05	2	0.04256827183656452
selection	Replicated	0.0001322567178230516	3	0.025682718365645195
bottle	Replicated	0.0001439169425218177	4	0.024932249322493227
list	Replicated	0.00010241492443055915	5	0.02293099854075464
wines	Replicated	0.0001337316196201011	6	0.018636647904940587
beer	Replicated	5.671325088268289e-05	7	0.01459245361684386
dinner	Replicated	4.2832531119597954e-05	8	0.01384198457369189
bruschetta	Replicated	0.00010227482839378395	9	0.012424431936627059
glasses	Replicated	3.924538656323243e-05	10	0.010756722951844903
excellent	Replicated	4.080133933739884e-05	11	0.00996456118407338
bottles	Replicated	5.9199608350878015e-05	12	0.008838857619345424
course	Replicated	8.223675416605178e-05	13	0.007588075880758808
date	Replicated	7.578820725248678e-05	14	0.007421304982280592
different	Replicated	6.632098435323227e-05	15	0.00729622680842193
postino	Replicated	0.00010344148378153056	16	0.007087763185324161
full	Replicated	9.877796185589186e-06	17	0.007046070460704607
tasting	Replicated	2.4139382381913883e-05	18	0.0068792995622263915
enjoyed	Replicated	7.089672167059119e-05	19	0.006587450489889514
atmosphere	Replicated	7.075264184089937e-05	20	0.006587450489889514
wine	Replicated	7.494486222984174e-05	1	0.1314571607254534
glass	Replicated	4.608439560552482e-05	2	0.04256827183656452
selection	Replicated	0.0001481418703497477	3	0.025682718365645195
bottle	Replicated	1.892325361733098e-05	4	0.024932249322493227
list	Replicated	7.125660962400222e-05	5	0.02293099854075464
wines	Replicated	3.5765776007548476e-05	6	0.018636647904940587
beer	Replicated	4.438136865898514e-05	7	0.01459245361684386
dinner	Replicated	0.0001142458176852624	8	0.01384198457369189
bruschetta	Replicated	6.263478059996337e-05	9	0.012424431936627059
glasses	Replicated	0.0002274178681295794	10	0.010756722951844903
excellent	Replicated	3.121383708403429e-05	11	0.00996456118407338
bottles	Replicated	0.000105337995935029	12	0.008838857619345424
course	Replicated	9.399147259147995e-05	13	0.007588075880758808
date	Replicated	2.601033793150038e-05	14	0.007421304982280592
different	Replicated	6.199575774488591e-05	15	0.00729622680842193
postino	Replicated	3.586989734615837e-05	16	0.007087763185324161
full	Replicated	0.00013168202316294472	17	0.007046070460704607
tasting	Replicated	2.4462724068786073e-05	18	0.0068792995622263915
enjoyed	Replicated	5.338128918170598e-05	19	0.006587450489889514
atmosphere	Replicated	2.614196415750073e-05	20	0.006587450489889514
wine	Replicated	8.433649840401875e-05	1	0.1314571607254534
glass	Replicated	7.281879294130202e-05	2	0.04256827183656452
selection	Replicated	7.606737282867547e-05	3	0.025682718365645195
bottle	Replicated	3.457382638292716e-05	4	0.024932249322493227
list	Replicated	0.00011569340358229653	5	0.02293099854075464
wines	Replicated	0.0001785691006445727	6	0.018636647904940587
beer	Replicated	0.00015321245794957532	7	0.01459245361684386
dinner	Replicated	8.549101663865219e-05	8	0.01384198457369189
bruschetta	Replicated	0.00010186078967977524	9	0.012424431936627059
glasses	Replicated	1.84123965782921e-05	10	0.010756722951844903
excellent	Replicated	0.00016923458727174983	11	0.00996456118407338
bottles	Replicated	6.98173338898303e-05	12	0.008838857619345424
course	Replicated	5.837946898585496e-05	13	0.007588075880758808
date	Replicated	0.00012850402914966173	14	0.007421304982280592
different	Replicated	9.610629136096326e-05	15	0.00729622680842193
postino	Replicated	0.00011668198427330265	16	0.007087763185324161
full	Replicated	0.00028668318019994116	17	0.007046070460704607
tasting	Replicated	8.285305044950613e-05	18	0.0068792995622263915
enjoyed	Replicated	0.00010337176682827503	19	0.006587450489889514
atmosphere	Replicated	2.2621799585912136e-05	20	0.006587450489889514
wine	Replicated	8.384360622460185e-05	1	0.1314571607254534
glass	Replicated	2.74517303038715e-05	2	0.04256827183656452
selection	Replicated	0.00010340564651797922	3	0.025682718365645195
bottle	Replicated	6.34792308841084e-05	4	0.024932249322493227
list	Replicated	8.588891594882032e-05	5	0.02293099854075464
wines	Replicated	0.0002170831331056468	6	0.018636647904940587
beer	Replicated	8.213390265662362e-05	7	0.01459245361684386
dinner	Replicated	6.0495384874100834e-05	8	0.01384198457369189
bruschetta	Replicated	0.00013804529947391815	9	0.012424431936627059
glasses	Replicated	7.41859492289473e-05	10	0.010756722951844903
